emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,issuanceOfStock,investments,changeToOperatingActivities
MARK.JK,2019-12-31,0.0,-64755252530.0,69468915584.0,39224827238.0,88002544535.0,22548348757.0,,48078774049.0,9640964421.0,9580306466.0,-26600002170.0,-3644086176.0,-49564734907.0,-64755252530.0,,,,
MARK.JK,2018-12-31,0.0,-70240717723.0,18208465464.0,6808464534.0,81905439662.0,-12515041555.0,,50917211634.0,8691945662.0,9580306466.0,-11400000930.0,-3644086176.0,-39680173690.0,-21529959051.0,,,,
MLPL.JK,2021-12-31,0.0,1296920000000.0,-810587000000.0,-569409000000.0,201258000000.0,738843000000.0,-2229000000.0,295796000000.0,827941000000.0,-325354000000.0,,268518000000.0,-532145000000.0,-117877000000.0,-27340000000.0,,709182000000.0,
MLPL.JK,2020-12-31,0.0,1206036000000.0,-1297752000000.0,-2311046000000.0,-793095000000.0,-178962000000.0,1708000000.0,924340000000.0,894427000000.0,247804000000.0,,-1013294000000.0,29913000000.0,-131464000000.0,-27340000000.0,,557520000000.0,
MLPL.JK,2019-12-31,0.0,798055000000.0,-781387000000.0,-1595912000000.0,-866094000000.0,-759579000000.0,-6558000000.0,44836000000.0,503332000000.0,31121000000.0,,-814525000000.0,400900000000.0,-382150000000.0,-27340000000.0,,739378000000.0,
MLPL.JK,2018-12-31,0.0,1023303000000.0,-319900000000.0,-1720331000000.0,-1221769000000.0,-676864000000.0,5913000000.0,89512000000.0,644206000000.0,38125000000.0,,-1896580000000.0,660044000000.0,-350497000000.0,-27340000000.0,496149000000.0,875112000000.0,
SDRA.JK,2021-12-31,0.0,-1195290000000.0,-2031340000000.0,5326552000000.0,629168000000.0,1179098000000.0,,-2952164000000.0,94164000000.0,-17171000000.0,-65809000000.0,5994826000000.0,179183000000.0,-13386000000.0,,1428875000000.0,-1147839000000.0,-3877135000000.0
SDRA.JK,2020-12-31,0.0,-364816000000.0,2755000000000.0,475823000000.0,536001000000.0,-2587660000000.0,,-2698667000000.0,91548000000.0,-17171000000.0,-85552000000.0,-2193625000000.0,49313000000.0,-15632000000.0,,1428875000000.0,-338143000000.0,-3397228000000.0
SDRA.JK,2019-12-31,0.0,-483926000000.0,3243550000000.0,6604014000000.0,499791000000.0,2327571000000.0,,-3792517000000.0,52180000000.0,-17171000000.0,-98714000000.0,3459178000000.0,-180983000000.0,-22252000000.0,,1428875000000.0,-456105000000.0,-4183096000000.0
SDRA.JK,2018-12-31,0.0,1033711000000.0,2710275000000.0,1707863000000.0,537971000000.0,-368390000000.0,,-3109964000000.0,47618000000.0,-17171000000.0,-98714000000.0,-903698000000.0,30334000000.0,-18161000000.0,,1428875000000.0,1068620000000.0,-3745614000000.0
PSGO.JK,2021-12-31,0.0,-81746767995.0,44054185087.0,-120412747858.0,213841990546.0,166845084046.0,,369004599899.0,116386496133.0,53064209052.0,,-164466932945.0,38776113220.0,-126561245211.0,,,,
PSGO.JK,2020-12-31,0.0,-389166755889.0,80343798715.0,-96485813106.0,26500848572.0,-206246775653.0,,279405793342.0,102826552270.0,-67231127198.0,,-176829611821.0,150078392500.0,-309557590077.0,,,,
PSGO.JK,2019-12-31,0.0,-439893517247.0,-397588552781.0,216698827588.0,-160987771716.0,-165371133559.0,,68517135164.0,84041886866.0,-65489031584.0,,-187266336306.0,145463020014.0,-333342651573.0,,801553716675.0,,
PSGO.JK,2018-12-31,0.0,-300337712647.0,830830461648.0,677827596688.0,-176438855201.0,438887637909.0,,61397753868.0,76061901572.0,-50918010276.0,,-155702864960.0,161774707497.0,-212197146807.0,,2700000000.0,,
RALS.JK,2021-12-31,0.0,2228000000.0,-112965000000.0,-424014000000.0,170575000000.0,27789000000.0,,449575000000.0,430072000000.0,-17807000000.0,,,-151072000000.0,-58865000000.0,-311049000000.0,,78900000000.0,
RALS.JK,2020-12-31,0.0,-320665000000.0,-164395000000.0,-501647000000.0,-138874000000.0,-653891000000.0,,168421000000.0,447231000000.0,-263000000.0,-337124000000.0,,-139936000000.0,-66467000000.0,-4320000000.0,4192000000.0,-252922000000.0,
RALS.JK,2019-12-31,0.0,-516531000000.0,-164395000000.0,-301759000000.0,647898000000.0,257344000000.0,,1075634000000.0,180595000000.0,-100445000000.0,-337141000000.0,,125917000000.0,-133276000000.0,-4320000000.0,35382000000.0,-279899000000.0,
RALS.JK,2018-12-31,0.0,680634000000.0,-164395000000.0,-268913000000.0,587105000000.0,1198874000000.0,,787153000000.0,193562000000.0,-61218000000.0,-268913000000.0,,-104634000000.0,-107706000000.0,-4320000000.0,35382000000.0,849295000000.0,
