emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,otherCashflowsFromInvestingActivities,repurchaseOfStock,issuanceOfStock,changeToOperatingActivities
LSIP.JK,2018-12-31,-344500000000.0,0.0,-344166000000.0,-10621000000.0,-318310000000.0,331364000000.0,29996000000.0,29233000000.0,663239000000.0,384529000000.0,-11500000000.0,-60583000000.0,-311260000000.0,-306810000000.0,-37335000000.0,,,
ROTI.JK,2021-12-31,,0.0,-161068989518.0,-17622439145.0,-733531127524.0,281341473267.0,-251970667228.0,-971702460.0,643601152274.0,183345712950.0,-45634027778.0,178913966057.0,-212490070350.0,-297289648543.0,,-372985012058.0,,
ROTI.JK,2020-12-31,,0.0,-439667897850.0,-181640356553.0,-209903497974.0,215050714497.0,-175037736794.0,-1739342547.0,486591578118.0,192373638419.0,16495307575.0,79167225202.0,-352045282673.0,-149528741987.0,,-353128662823.0,457898955814.0,
ROTI.JK,2019-12-31,-1000000000.0,0.0,-515269836364.0,10972220000.0,-55125346349.0,301002075111.0,-108615062375.0,-2891624133.0,479788528325.0,159176875553.0,-6372786670.0,19609577661.0,-530289710585.0,-59724779679.0,,-353128662823.0,457898955814.0,
ROTI.JK,2018-12-31,-3750000000.0,0.0,-367322473111.0,-373166500000.0,-543604133261.0,172687391659.0,-600544307150.0,1732630803.0,295922456326.0,132041019735.0,-57187535192.0,-8805955068.0,-356528419508.0,-36005365328.0,,-77244732741.0,457898955814.0,
TECH.JK,2021-12-31,,0.0,-901880827.0,-4027314878.0,-5159207769.0,5934630056.0,-6156624864.0,,-95536268.0,985290649.0,-1131892891.0,-7015456973.0,-909880827.0,,,,,
TECH.JK,2020-12-31,,0.0,-653508876.0,-339131656.0,39685609392.0,1660892048.0,33662687014.0,,-5369413502.0,955253727.0,3909915448.0,-7985559277.0,-653508876.0,,,,36114825600.0,
TECH.JK,2019-12-31,,0.0,-2171195154.0,6579636641.0,2704671141.0,2934659614.0,-862885595.0,,-1396361583.0,847323015.0,-3874965500.0,-5178344212.0,-784589493.0,,,,36114825600.0,
TECH.JK,2018-12-31,,0.0,-3432687711.0,30045631137.0,24463438137.0,-12992939533.0,9118896998.0,,-11911853428.0,229114780.0,-5582193000.0,851971325.0,-3432687711.0,,,,36114825600.0,
KRAS.JK,2021-12-31,-682000.0,0.0,-74678000.0,-4479000.0,-72217000.0,62825000.0,-27812000.0,-802000.0,119885000.0,46688000.0,-67738000.0,10372000.0,-77572000.0,,5677000.0,,,
KRAS.JK,2020-12-31,-760000.0,0.0,-203880000.0,225127000.0,119464000.0,23675000.0,-17423000.0,-2437000.0,70827000.0,54445000.0,-105663000.0,-7293000.0,-26409000.0,,-181951000.0,,,
KRAS.JK,2019-12-31,-1329000.0,0.0,-237055000.0,97429000.0,12027000.0,-503658000.0,-43038000.0,5865000.0,176125000.0,64810000.0,-85402000.0,614973000.0,-200119000.0,,-36610000.0,,,
KRAS.JK,2018-12-31,439000.0,0.0,-274238000.0,329280000.0,242220000.0,-167500000.0,-107583000.0,4586000.0,-80151000.0,69595000.0,-87060000.0,-74929000.0,-277307000.0,,2623000.0,,,
