emiten,tanggal,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
GEMS.JK,2018-12-31,,,136143507,1211348,98770342,192839321,341790648,142522161,142522161,5839590,-5746898,,,,35594929,1045058516,902536355,703267868,-6378654,,100548578,98770342
BEBS.JK,2021-12-31,,,141121789896,8864016310,110080066044,8566503300,150793109253,142225571788,142225571788,1034165,-1103781892,,,,31050523852,459401131769,317175559981,308608022516,-1103781892,,110071266044,110080066044
BEBS.JK,2020-12-31,,,26463041929,8872816310,20790688599,5914273344,34473467463,28545198686,28545198686,13995433,-2082156757,,,,5672390630,110697288392,82152089706,76223820929,-2082156757,,20790651299,20790688599
BEBS.JK,2019-12-31,,,336716263,8872816310,241347788,1281732873,2990774821,1709331579,1709331579,-289631,-1372615316,,,,95368475,16106246765,14396915186,13115471944,-1372615316,,241347788,241347788
BBHI.JK,2021-12-31,,,219999042348,,192474618193,82966401912,303157466338,0,220191064426,,,,,,27524424155,304196258687,84005194261,1038792349,-192022078,,192474618193,192474618193
BBHI.JK,2020-12-31,,,45826728419,,37011391337,89679837371,134043485487,0,44363648116,,,,,,8815337082,135028925151,90665277035,985439664,1463080303,,37011391337,37011391337
BBHI.JK,2019-12-31,,,-46419710889,,-36549663189,113576041516,64895166760,0,-48825771800,144897044.0,,,,,-9870047700,66107134632,114932906432,1211967872,2406060911,,-36549663189,-36549663189
BBHI.JK,2018-12-31,,,-120795276716,,-123143307730,110486981233,-6479933633,0,-117125316111,158401245.0,,,,,2348031014,-5646001859,111479314252,833931774,-3669960605,,-123143307730,-123143307730
SMGR.JK,2021-12-31,,,3470137000000,3628326000000,2021190000000,5742677000000,10761382000000,4989538000000,4989538000000,29167000000,-1578692000000,,,,1387790000000,34957871000000,29968333000000,24196489000000,-1519401000000,,2082347000000,2021190000000
SMGR.JK,2020-12-31,,,3488650000000,1479926000000,2792321000000,5945688000000,11760273000000,5932090000000,5932090000000,-117505000000,-2287387000000,,,,814307000000,35171668000000,29239578000000,23411395000000,-2443440000000,,2674343000000,2792321000000
SMGR.JK,2019-12-31,,,3195775000000,1615109000000,2392151000000,6446701000000,12539780000000,6203884000000,6203884000000,-110805000000,-3179581000000,,,,824542000000,40368107000000,34164223000000,27828327000000,-3008109000000,,2371233000000,2392151000000
SMGR.JK,2018-12-31,,,4104959000000,1423230000000,3079115000000,4385300000000,9158565000000,4906698000000,4906698000000,-133433000000,-930677000000,,,,1019255000000,30687626000000,25780928000000,21529061000000,-801739000000,,3085704000000,3079115000000
INTP.JK,2021-12-31,,,2277071000000,,1788496000000,2973282000000,5126282000000,2069598000000,2069598000000,-137845000000,-24017000000,,,,488575000000,14771906000000,12702308000000,9645624000000,207473000000,,1788496000000,1788496000000
INTP.JK,2020-12-31,,,2225793000000,,1806337000000,2831354000000,5113552000000,1949918000000,1949918000000,32327000000,-45193000000,,,,419456000000,14184322000000,12234404000000,9070770000000,275875000000,,1806337000000,1806337000000
INTP.JK,2019-12-31,,,2363754000000,,1835305000000,3503230000000,5500317000000,1978197000000,1978197000000,18890000000,-1218000000,,,,528449000000,15939348000000,13961151000000,10439031000000,385557000000,,1835305000000,1835305000000
INTP.JK,2018-12-31,,,1483814000000,,1145937000000,3315974000000,4362453000000,1075709000000,1075709000000,-29230000000,-3327000000,,,,337877000000,15190283000000,14114574000000,10827830000000,408105000000,,1145937000000,1145937000000
